Date,HH:MM,Datasource,Dry Bulb Temperature {C},Dew Point Temperature {C},Relative Humidity {%},Atmospheric Pressure {Pa},Extraterrestrial Horizontal Radiation {Wh/m2},Extraterrestrial Direct Normal Radiation {Wh/m2},Horizontal Infrared Radiation Intensity from Sky {Wh/m2},Global Horizontal Radiation {Wh/m2},Direct Normal Radiation {Wh/m2},Diffuse Horizontal Radiation {Wh/m2},Global Horizontal Illuminance {lux},Direct Normal Illuminance {lux},Diffuse Horizontal Illuminance {lux},Zenith Luminance {Cd/m2},Wind Direction {deg},Wind Speed {m/s},Total Sky Cover {.1},Opaque Sky Cover {.1},Visibility {km},Ceiling Height {m},Present Weather Observation,Present Weather Codes,Precipitable Water {mm},Aerosol Optical Depth {.001},Snow Depth {cm},Days Since Last Snow,Albedo {.01},Liquid Precipitation Depth {mm},Liquid Precipitation Quantity {hr}
2023/1/1,1:00,?9?9?9?9E0?9?9?9?9*9?9?9?9?9?9?9?9?9?9*_*9*9,25.9,22.7,83,101200,0,0,432,0,0,0,0,0,0,0,60,3.1,9,9,9,4877,9,'999999999,450,0,0,88,999,0,1
2023/1/1,2:00,?9?9?9?9E0?9?9?9?9*9?9?9?9?9?9?9?9?9?9*_*9*9,25.7,22.7,84,101200,0,0,430,0,0,0,0,0,0,0,40,2.1,9,9,8,4800,9,'999999999,450,0,0,88,999,0,1
2023/1/1,3:00,?9?9?9?9E0?9?9?9?9*9?9?9?9?9?9?9?9?9?9*_*9*9,25.5,22.8,85,101100,0,0,429,0,0,0,0,0,0,0,70,2.1,9,9,10,4877,9,'999999999,459,0,0,88,999,0,1
2023/1/1,4:00,?9?9?9?9E0?9?9?9?9*9?9?9?9?9?9?9?9?9?9*_*9*9,25.4,22.8,86,101100,0,0,429,0,0,0,0,0,0,0,70,2.6,9,9,10,4877,9,'999999999,459,0,0,88,999,0,1
2023/1/1,5:00,?9?9?9?9E0?9?9?9?9*9?9?9?9?9?9?9?9?9?9*_*9*9,25.8,22.8,84,101000,0,0,431,0,0,0,0,0,0,0,60,3.6,9,9,8,4800,9,'999999999,459,0,0,88,999,0,1
2023/1/1,6:00,?9?9?9?9E0?9?9?9?9*9?9?9?9?9?9?9?9?9?9*_*9*9,25.7,22.8,84,101000,0,0,431,0,0,0,0,0,0,0,60,4.6,9,9,10,4877,9,'999999999,459,0,0,88,999,0,1
2023/1/1,7:00,?9?9?9?9E0?9?9?9?9*9?9?9?9?9?9?9?9?9?9*_*9*9,25.4,22.6,85,101100,0,0,429,0,0,0,0,0,0,0,40,2.1,9,9,10,3353,9,'999999999,450,0,0,88,999,0,1
2023/1/1,8:00,?9?9?9?9E0?9?9?9?9*9?9?9?9?9?9?9?9?9?9*_*9*9,25.7,22.8,84,101300,133,1313,431,27,0,27,3004,7,4321,113,70,2.1,9,9,12,4500,9,'999999999,459,0,0,88,999,0,1
2023/1/1,9:00,?9?9?9?9E0?9?9?9?9*9?9?9?9?9?9?9?9?9?9*_*9*9,26.1,22.8,82,101300,443,1411,433,61,0,61,6888,29,9450,242,40,1.5,9,9,9.5,2134,9,'999999999,459,0,0,88,999,0,1
2023/1/1,10:00,?9?9?9?9E0?9?9?9?9*9?9?9?9?9?9?9?9?9?9*_*9*9,27.2,23.1,78,101400,738,1411,440,131,2,130,14589,167,18696,505,10,1,9,9,9.5,2286,9,'999999999,469,0,0,88,999,0,1
2023/1/1,11:00,?9?9?9?9E0?9?9?9?9*9?9?9?9?9?9?9?9?9?9*_*9*9,27.6,23,76,101300,983,1411,454,284,14,274,30980,1507,36195,1130,30,2.1,10,10,10,4800,9,'999999999,459,0,0,88,999,0,1
2023/1/1,12:00,?9?9?9?9E0?9?9?9?9*9?9?9?9?9?9?9?9?9?9*_*9*9,28.7,23.4,73,101300,1160,1411,449,370,28,346,42379,1993,39999,2012,10,2.1,9,9,10,3505,9,'999999999,480,0,0,88,999,0,1
2023/1/1,13:00,?9?9?9?9E0?9?9?9?9*9?9?9?9?9?9?9?9?9?9*_*9*9,29.9,22.5,65,101200,1257,1411,455,639,149,507,72125,12686,57604,2913,40,3.6,9,9,10,4877,9,'999999999,450,0,0,88,999,0,1
2023/1/1,14:00,?9?9?9?9E0?9?9?9?9*9?9?9?9?9?9?9?9?9?9*_*9*9,29.9,22.2,63,101100,1268,1411,454,624,143,496,70692,12035,56589,2844,40,2.6,9,9,10,8400,9,'999999999,440,0,0,88,999,0,1
2023/1/1,15:00,?9?9?9?9E0?9?9?9?9*9?9?9?9?9?9?9?9?9?9*_*9*9,30.5,21.9,60,101000,1191,1411,458,521,116,424,59212,9291,48440,2458,50,3.6,9,9,10,8534,9,'999999999,430,0,0,88,999,0,1
2023/1/1,16:00,?9?9?9?9E0?9?9?9?9*9?9?9?9?9?9?9?9?9?9*_*9*9,29.7,22.1,64,100900,1033,1411,453,537,178,407,59750,14850,45576,2333,60,4.1,9,9,10,8534,9,'999999999,440,0,0,88,999,0,1
2023/1/1,17:00,?9?9?9?9E0?9?9?9?9*9?9?9?9?9?9?9?9?9?9*_*9*9,29.5,22.1,64,100900,803,1411,452,265,32,247,29603,2210,27741,1347,50,4.6,9,9,12,8400,9,'999999999,440,0,0,88,999,0,1
2023/1/1,18:00,?9?9?9?9E0?9?9?9?9*9?9?9?9?9?9?9?9?9?9*_*9*9,29,21.7,65,100900,519,1411,448,131,9,127,14406,910,18838,501,40,3.1,9,9,10,8534,9,'999999999,419,0,0,88,999,0,1
2023/1/1,19:00,?9?9?9?9E0?9?9?9?9*9?9?9?9?9?9?9?9?9?9*_*9*9,27.7,21.5,69,101000,201,1411,440,63,59,55,6847,0,5962,243,50,2.6,9,9,10,8534,9,'999999999,419,0,0,88,999,0,1
